id,height,weight,bmi-gt,class-gt,CJWR,WHR,PAR,ES,FWR,MEH,CFR,CFR-HZJ,CFR-NSJ,CFR-FHH,CFR-FHN
294466.jpg,1.7,63.5,21.97,b,1.2533120903098458,1.8494350704538667,0.019810086795837994,45.50158226263572,1.4009810894643675,28.623174420883277,0.37999073287512547,0.0020317745617641123,0.00212255517483839,0.3637387211008853,0.39696889193968066
294467.jpg,1.63,77.11,29.02,c,1.1798630146867253,1.5637154616778683,0.025358619492310035,37.027410221918444,1.460251060910352,24.215756399918376,0.4152727426911743,0.0029868781040053795,0.002714142961030454,0.45700211084813636,0.3773537292906653
294516.jpg,1.75,65.77,21.48,b,1.2150083171435366,1.429322914438176,0.026062407493648094,32.035010800405246,1.2653526662653907,26.727856697614808,0.45731168919377846,0.0031074426894190906,0.0028576957722684262,0.4972782194526828,0.4205572914563708
294567.jpg,1.55,68.04,28.32,c,1.26163827476056,1.830930685234344,0.02834524484746112,31.50227268031749,1.3283791713925395,25.117805411030805,0.3731477799867462,0.0027846849252742252,0.0030091584393599873,0.3453121591196905,0.4032272308742383
294584.jpg,1.85,107.95,31.54,d,1.2616617585601542,1.5620703991197304,0.019008299589267662,46.49913921451752,1.3989833317148948,43.354764741004836,0.3929441551617064,0.0020359527497829898,0.001935474152239389,0.4133435376995311,0.373551525530291
294597.jpg,1.88,90.72,25.67,c,1.294719151737502,1.5871274353382485,0.02129716260755333,39.51253238244235,1.178987780689558,34.10665428633724,0.33814989668019124,0.0017796377061610371,0.0018891055680457611,0.31855514940282564,0.35894994269965413
294607.jpg,1.78,73.94,23.34,b,1.211007235588543,1.5257856429078376,0.01829989993884128,41.02298565577217,1.1681974802315243,27.43445616934095,0.4038481231581463,0.001886131986993563,0.0019032297081849774,0.400220141425968,0.4075089924191783
294622.jpg,1.73,68.04,22.73,b,1.1979535731287878,1.7941764794747947,0.020839289735135918,40.99741291040113,1.2431855498622646,21.749016043196235,0.3864563899253731,0.0020886788516928374,0.0021710690531736845,0.3717907026304582,0.4017005811535776
294623.jpg,1.83,64.41,19.23,b,1.248030351384051,1.499517559581282,0.018751201549059467,44.51105565383412,1.3040025888507425,35.562369509601716,0.41768459222928606,0.002047080011256567,0.0019426980202388252,0.440126963045604,0.39638657304362457
294658.jpg,1.75,77.11,25.18,c,1.2464808516838293,1.4308330629939923,0.023474799957409247,36.49553607011911,1.2777400471778857,24.803918085997505,0.4031489958653278,0.0024883844212376435,0.0023159922496772452,0.43315761565639294,0.3752193358552193
294668.jpg,1.57,68.04,27.6,c,1.2851217831736628,1.654350886918652,0.02211711526486506,42.50176054155277,1.3448492669658754,37.165617657182985,0.4017764429605253,0.002308907498105729,0.0022957154689655012,0.4040851988211898,0.3994808782626148
294715.jpg,1.68,68.04,24.11,b,1.225094261207875,1.5420281913218994,0.02043215534424811,44.02553026047653,1.3632898049147257,32.07549932634802,0.3974570972000278,0.0022191843667223247,0.0021337844791457744,0.4133644166829087,0.3821619320364786
294731.jpg,1.78,68.04,21.47,b,1.171509059965109,1.700572851801338,0.018042654758209004,44.49986688416823,1.3514942153251879,42.56971161292202,0.43416370106761565,0.0021493252528099784,0.0020673524402057167,0.4513787723902621,0.41760519292155474
294734.jpg,1.78,90.72,28.63,c,1.1286445989800538,1.5823296710212797,0.02570584188317572,34.00347446762774,1.3237799186278978,26.96909275558384,0.4308774461177744,0.0030995169141014227,0.0028725163074518295,0.4649275371152134,0.3993210957667333
294748.jpg,1.73,81.65,27.28,c,1.1698969080072392,1.696,0.01934912446596932,43.99773870743487,1.284999112963829,28.52559061634733,0.4072266612723779,0.002109869419313508,0.0021208571333845324,0.40511690571849085,0.40934740394735103
294764.jpg,1.8,72.57,22.4,b,1.1725489678534793,1.4606349683157644,0.029213763279680657,28.49699298661768,1.4583802381337017,18.08257043292019,0.44545505586435347,0.003710064890597856,0.0032033865212111874,0.5159125045193665,0.3846198823577177
294770.jpg,1.68,58.97,20.89,b,1.166745329212241,1.8052607366609619,0.022514922814901042,39.50304440740927,1.5866516826428594,30.829089344190976,0.45958646616541354,0.003063637463208211,0.002908716844667412,0.4840644141450722,0.4363463078678432
294831.jpg,1.78,88.45,27.92,c,1.2349791871437823,1.6951775848502326,0.018083353765362124,48.00255675682798,1.2582108550930267,35.294675862898295,0.35419136696965703,0.0016628519417035313,0.001702823431094973,0.3458772010914813,0.3627053880393044
294833.jpg,1.85,108.86,31.81,d,1.177142857142857,1.4957264957264957,0.022490711487749497,37.012257670689685,1.2117647058823529,24.717732010681413,0.4486040609137056,0.0026388474171394447,0.0025488867097369634,0.46443714541654224,0.43331074065528374
294836.jpg,1.7,65.77,22.76,b,1.1892334334915606,1.518384439040487,0.02471910653120334,35.03187058244896,1.2744326361153433,21.371361560902585,0.4157413655603951,0.002715814016593245,0.0025345842979085714,0.44546801177542283,0.38799841620313164
294838.jpg,1.83,74.84,22.35,b,1.1966374539200626,1.8601385988512835,0.025216989743910623,34.502083297165605,1.4680915960431906,27.261713958948636,0.4201517741733728,0.0029795000984835706,0.002979724878765679,0.42012007935651235,0.42018347138136247
294840.jpg,1.85,99.79,29.16,c,1.2027195007857066,1.6633054461972216,0.023378495320220204,36.51291976116405,1.2170508718228141,24.490899514646355,0.38652286135693215,0.0023277752752737463,0.002342562796102619,0.3840829204201681,0.3889783023627135
294855.jpg,1.7,95.25,32.96,d,1.2938162978921954,1.6015220558409424,0.01987858314293203,44.49795926446349,1.3492063492063493,29.510994733023136,0.4021686715583417,0.002127876569091755,0.0021506038573356014,0.3979186078890264,0.4064641290364287
294874.jpg,1.7,84.82,29.35,c,1.210136570689386,1.5754869707098458,0.020090916169105865,42.011570013780506,1.3623509092741122,31.266572210371066,0.45176367195302203,0.002441074403256264,0.0022701692057940804,0.48577380624799654,0.4201346648820454
294882.jpg,1.88,111.13,31.44,d,1.156767579343363,1.599805066094054,0.026543751199138904,30.516259922582396,1.3704894470548794,26.470889896847563,0.42978883683702535,0.0031822244588379303,0.0029846447002571204,0.45824032207266197,0.4031038635671019
294888.jpg,1.73,63.5,21.22,b,1.1856137206853883,1.7523043601414023,0.025909124796148514,36.01358295102044,1.3990217381102494,29.46142478128101,0.3610351781313018,0.0026128377012557204,0.0025782308281233003,0.3658812526059543,0.35625328961219255
